Year,Month,Day,Car,Showroom Price (BND)
2016,6,15,AUDI A3 1.4L TFSI S-TRONIC AUTO SEDAN PETROL,"$41,900.00"
2016,6,15,AUDI A4 1.8L TFSI MULTITRONIC AUTO SEDAN PETROL,"$57,700.00"
2016,6,15,AUDI A4 AVANT 1.8L TFSI MULTITRONIC WITH S-LINE,"$64,900.00"
2016,6,15,AUDI A5 1.8L TFSI SPORTBACK TIPTRONIC AUTO PETROL,"$68,100.00"
2016,6,15,AUDI A6 1.8L TFSI S-TRONIC AUTO SALOON PETROL,"$71,100.00"
2016,6,15,AUDI A8L 3.0L TFSi QUATTRO TIPTRONIC AUTO PETROL,"$165,350.00"
2016,6,15,AUDI Q3 2.0L TFSi QUATTRO S-TRONIC AUTO SUV PETROL,"$57,750.00"
2016,6,15,AUDI Q5 2.0L TFSi QUATTRO TIPTRONIC AUTO SUV PETROL,"$74,600.00"
2016,6,15,AUDI Q7 2.0L TFSi QUATTRO TIPTRONIC AUTO AWD SUV PETROL,"$96,200.00"
2016,6,15,AUDI Q7 3.0L TFSi QUATTRO TIPTRONIC AUTO AWD SUV PETROL,"$122,600.00"
2016,6,15,AUDI S3 2.0L TFSI QUATTRO S-TRONIC AUTO PETROL,"$71,650.00"
2016,6,15,AUDI TT COUPE 2.0L TFSI QUATTRO S-TRONIC PETROL,"$81,650.00"
2016,6,15,AUDI TTS COUPE 2.0L TFSI QUATTRO S-TRONIC PETROL,"$101,200.00"
2016,6,15,BAW BJ6490XBD1-R 2.2L MANUAL 9-SEATERS 4-DOORS WAGON PETROL,"$25,150.00"
2016,6,15,BMW 118i M-SPORT 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$51,950.00"
2016,6,15,BMW 218i ACTIVE TOURER LUXURY 1.5L AUTO PETROL,"$55,700.00"
2016,6,15,BMW 220i COUPE SPORT LINE 2.0L MANUAL PETROL,"$65,850.00"
2016,6,15,BMW 318i SPORT LINE 1.5L AUTO PETROL,"$61,400.00"
2016,6,15,BMW 320i M SPORT 2.0L AUTO PETROL,"$78,450.00"
2016,6,15,BMW 420i COUPE SPORT LINE 2.0L AUTO PETROL,"$90,300.00"
2016,6,15,BMW 420i GRAN COUPE RHD SPORT LINE 2.0L AUTO PETROL,"$85,750.00"
2016,6,15,BMW 520i SPORT PRO EDITION 2.0L AUTO SEDAN PETROL,"$102,650.00"
2016,6,15,BMW 740Li LIMOUSINE 3.0L AUTO PETROL,"$230,250.00"
2016,6,15,BMW 740Li PURE EXPERIENCE 3.0L AUTO 4-DOORS PETROL,"$234,750.00"
2016,6,15,BMW M4 3.0L AUTO 2-DOORS COUPE PETROL,"$209,700.00"
2016,6,15,BMW M135i 3.0L AUTO PETROL,"$96,450.00"
2016,6,15,BMW M235i 3.0L AUTO PETROL,"$103,950.00"
2016,6,15,BMW X1 sDRIVE 20i SPORT LINE 2.0L AUTO PETROL,"$72,250.00"
2016,6,15,BMW X3 xDRIVE20i RHD 2.0L AUTO SUV PETROL,"$82,344.00"
2016,6,15,BMW X5 xDRIVE 35i 3.0L AUTO SUV PETROL,"$151,927.00"
2016,6,15,BMW X5 xDRIVE 35i RHD PURE EXPERIENCE 3.0L AUTO SUV PETROL,"$165,995.00"
2016,6,15,BMW X6 xDRIVE 35i 3.0L AUTO PETROL,"$166,750.00"
2016,6,15,BMW X6 M 4.4L AUTO PETROL,"$315,450.00"
2016,6,15,CHERY FULWIN2 1.5L MANUAL SEDAN PETROL,"$14,650.00"
2016,6,15,CHEVROLET CAPTIVA 2.4L AUTO 7-SEATERS SUV PETROL,"$32,274.00"
2016,6,15,CHEVROLET CRUZE 1.6L MANUAL SEDAN PETROL,"$19,100.00"
2016,6,15,CHEVROLET CRUZE 1.6L AUTO SEDAN PETROL,"$20,550.00"
2016,6,15,CHEVROLET MALIBU 2.04L AUTO SEDAN PETROL,"$31,900.00"
2016,6,15,CHEVROLET ORLANDO 1.8L AUTO WAGON PETROL,"$27,200.00"
2016,6,15,CHEVROLET SPARK 1.0L AUTO HATCH BACK PETROL,"$13,385.00"
2016,6,15,CHEVROLET SPIN LTZ 1.5L AUTO WAGON PETROL,"$21,850.00"
2016,6,15,CHRYSLER 300C LUXURY SERIES RWD 3.6L AUTO PETROL,"$88,900.00"
2016,6,15,CHRYSLER SRT8 RWD 6.4L AUTO PETROL,"$121,345.00"
2016,6,15,CHRYSLER 300C SRT8 RWD 6.4L V8 AUTO 4-DOORS PETROL,"$103,850.00"
2016,6,15,CITROEN C3 1.6L AUTO H/BACK 5-DOORS PETROL,"$24,250.00"
2016,6,15,CITROEN C3 1.6L LX AUTO 5-DOORS H/BACK PETROL,"$25,200.00"
2016,6,15,CITROEN DS3 1.6L AUTO 3-DOORS HATCH BACK PETROL,"$31,927.00"
2016,6,15,CITROEN DS4 1.6L AUTO 5-DOORS H/BACK PETROL,"$47,350.00"
2016,6,15,CITROEN DS5 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$54,200.00"
2016,6,15,CITROEN GRAND PICASSO 1.6L AUTO 5-DOORS,"$46,500.00"
2016,6,15,DAIHATSU GRAN MAX 2WD VAN 1.5L MANUAL PETROL,"$13,200.00"
2016,6,15,DAIHATSU SIRION 1.3L MANUAL 2WD 5-DOORS HATCH BACK PETROL,"$13,400.00"
2016,6,15,DAIHATSU SIRION 1.3L AUTO 2WD 5-DOORS HATCH BACK PETROL,"$13,850.00"
2016,6,15,DAIHATSU TERIOS 1.5L MANUAL 2WD H/SPEC,"$27,500.00"
2016,6,15,DAIHATSU TERIOS 1.5L AUTO 2WD HIGH SPEC,"$21,150.00"
2016,6,15,DODGE JOURNEY R/T 2.4L AUTO SUV PETROL,"$48,350.00"
2016,6,15,FORD ECOSPORT 1.5L TREND AUTO S/WAGON 5-DOORS PETROL,"$27,700.00"
2016,6,15,FORD ECOSPORT 1.5L TITANIUM AUTO S/WAGON 5-DOORS PETROL,"$29,600.00"
2016,6,15,FORD EVEREST TREND XLT 2.2L 6AUTO 2WD WAGON DIESEL,"$57,000.00"
2016,6,15,FORD FIESTA 1.6L AUTO 4-DOORS SEDAN PETROL,"$21,650.00"
2016,6,15,FORD FIESTA (SIGMA) MID 1.5L AUTO 5-DOORS HATCH BACK PETROL,"$22,703.00"
2016,6,15,FORD FIESTA (SIGMA) SPORT 1.5L AUTO 5-DOORS HATCH BACK PETROL,"$23,792.00"
2016,6,15,FORD FIGO 1.4L MANUAL TREND H/BACK 5-DOORS PETROL,"$15,000.00"
2016,6,15,FORD FIGO 1.6L AUTO TREND H/BACK 5-DOORS PETROL,"$17,850.00"
2016,6,15,FORD FOCUS 1.6L TITANIUM AUTO H/BACK 5-DOORS PETROL,"$28,850.00"
2016,6,15,FORD KUGA TITANIUM 1.6L AUTO SUV PETROL,"$40,100.00"
2016,6,15,FORD KUGA TREND 1.6L AUTO SUV PETROL,"$39,734.00"
2016,6,15,FORD MONDEO 2.3L AUTO SEDAN 4-DOORS PETROL,"$38,400.00"
2016,6,15,FORD MONDEO 2.3L AUTO S/WAGON 5-DOORS PETROL,"$33,250.00"
2016,6,15,FORD MONDEO 2.0L TITANIUM AUTO SEDAN 4-DOORS PETROL,"$41,000.00"
2016,6,15,FORD RANGER 3.2L AUTO DOUBLE CAB 4WD DIESEL,"$42,000.00"
2016,6,15,FORD RANGER XL 2.2L MANUAL DOUBLE CAB 4X2 DIESEL,"$31,300.00"
2016,6,15,FORD RANGER XLT 2.2L MANUAL DOUBLE CAB 4X4 DIESEL,"$36,123.00"
2016,6,15,FORD RANGER XLT 3.2L MANUAL DOUBLE CAB 4X4 DIESEL,"$41,618.00"
2016,6,15,FORD RANGER XLT 2.2L HP 6AUTO DOUBLE CAB 4WD DIESEL,"$49,300.00"
2016,6,15,FORD RANGER XLT 3.2L HP 6MANUAL DOUBLE CAB 4WD DIESEL,"$50,450.00"
2016,6,15,FORD RANGER XLT 3.2L 6AUTO DOUBLE CAB 4WD DIESEL,"$53,750.00"
2016,6,15,FORD S-MAX 2.0L ECOBOOST AUTO 7-SEATERS WAGON PETROL,"$51,965.00"
2016,6,15,FOTON VIEW C2 2.0L MANUAL 9-SEATER LOW/ SPEC,"$29,700.00"
2016,6,15,FOTON VIEW C2 2.0L MANUAL 9-SEATER HIGH/ SPEC,"$38,400.00"
2016,6,15,GREAT WALL HAVAL H5 2.4L MANUAL LUXURY 2WD PETROL,"$16,850.00"
2016,6,15,GREAT WALL M4 RHD COMFORT 1.5L 5MANUAL 4X2 SUV PETROL,"$18,900.00"
2016,6,15,GREAT WALL VOLEEX C10 1.5L AUTO HATCH BACK PETROL,"$15,750.00"
2016,6,15,GEELY LC CROSS 1.3L MANUAL HATCH BACK PETROL,"$17,850.00"
2016,6,15,GEELY LC CROSS 1.5L AUTO H/BACK 5-DOORS PETROL,"$14,150.00"
2016,6,15,GEELY MK 1.5L MANUAL SEDAN PETROL,"$11,150.00"
2016,6,15,GEELY LC 1.3L GS PANDA MANUAL HATCH BACK PETROL,"$10,600.00"
2016,6,15,HONDA ACCORD 2.4L VTi-LFN AUTO SEDAN PETROL,"$49,302.00"
2016,6,15,HONDA AMAZE 1.2L C AUTO SEDAN PETROL,"$20,150.00"
2016,6,15,HONDA CITY 1.5L V AUTO SEDAN PETROL,"$23,400.00"
2016,6,15,HONDA CITY 1.5L SV AUTO SEDAN PETROL,"$26,500.00"
2016,6,15,HONDA CR-V 2.4L RVSi-B AUTO 5-SEATER WAGON PETROL,"$46,029.00"
2016,6,15,HONDA HR-V 1.5L LX AUTO WAGON 5-SEATERS PETROL,"$34,200.00"
2016,6,15,HONDA JAZZ 1.5L VTiR AUTO 5-DOORS HATCH BACK PETROL,"$23,863.00"
2016,6,15,HONDA MOBILIO 1.5L RS AUTO 7-SEATERS WAGON PETROL,"$28,050.00"
2016,6,15,HONDA ODYSSEY 2.4L EX AUTO 8-SEATER WAGON PETROL,"$40,578.00"
2016,6,15,HONDA ODYSSEY 2.4L EXV AUTO WAGON 7-SEATER PETROL,"$47,957.00"
2016,6,15,HYUNDAI ACCENT 1.4L CVVT AUTO 5-DOORS H/BACK PETROL,"$19,650.00"
2016,6,15,HYUNDAI CRETA 1.6L GLS AUTO 2WD 5-DOORS SUV PETROL,"$27,500.00"
2016,6,15,HYUNDAI CRETA 1.6L GLS AUTO 2WD 5-DOORS SUV PETROL,"$27,600.00"
2016,6,15,HYUNDAI CRETA 1.6L GLS MANUAL 5-DOORS 2WD SUV DIESEL,"$27,136.00"
2016,6,15,HYUNDAI CRETA 1.6L GLS MANUAL 5-DOORS 2WD SUV DIESEL,"$27,263.00"
2016,6,15,HYUNDAI CRETA 1.6L GLS AUTO 5-DOORS 2WD SUV DIESEL,"$28,597.00"
2016,6,15,HYUNDAI CRETA 1.6L GLS AUTO 5-DOORS 2WD SUV DIESEL,"$28,724.00"
2016,6,15,HYUNDAI ELANTRA 1.6L AUTO 2WD SEDAN PETROL,"$31,850.00"
2016,6,15,HYUNDAI GRAND i10 GLS 1.25L MANUAL HATCH BACK 5-DOORS PETROL,"$15,650.00"
2016,6,15,HYUNDAI GRAND i10 GLS 1.25L AUTO HATCH BACK 5-DOORS PETROL,"$16,850.00"
2016,6,15,HYUNDAI GRAND i10 GLS 1.25L AUTO 4-DOORS SEDAN PETROL,"$19,150.00"
2016,6,15,HYUNDAI H1 ROYALE 2.4L AUTO 8-SEATERS WAGON PETROL,"$60,886.00"
2016,6,15,HYUNDAI H1 ROYALE 2.5L VGT CRDi AUTO 2WD 8-SEATERS,"$71,325.00"
2016,6,15,HYUNDAI H1 2.4L AUTO 9-SEATERS VAN PETROL,"$36,277.00"
2016,6,15,HYUNDAI H1 2.4L VGT CRDi AUTO 9-SEATERS WAGON DIESEL,"$45,413.00"
2016,6,15,HYUNDAI i20 ACTIVE 1.4L AUTO 5-DOORS PETROL,"$23,200.00"
2016,6,15,HYUNDAI i20 ACTIVE 1.4L AUTO 5-DOORS PETROL,"$23,100.00"
2016,6,15,HYUNDAI i20 ACTIVE 1.4L AUTO 5-DOORS PETROL,"$23,250.00"
2016,6,15,HYUNDAI SONATA 2.0L AUTO SEDAN PETROL,"$30,550.00"
2016,6,15,HYUNDAI SONATA 2.4L AUTO 4-DOORS SEDAN PETROL,"$40,555.00"
2016,6,15,HYUNDAI TUCSON 2.0L CVVT AUTO 2WD 5-DOORS SUV PETROL,"$36,450.00"
2016,6,15,HYUNDAI TUCSON 2.0L CRDi AUTO 2WD SUV DIESEL,"$42,300.00"
2016,6,15,HYUNDAI TUCSON 2.0L CRDi AUTO 2WD SUV DIESEL,"$42,450.00"
2016,6,15,ISUZU MU-X 2.5L AUTO 7-SEATERS 4X2 WAGON DIESEL,"$40,466.00"
2016,6,15,ISUZU MU-X 2.5L AUTO 7-SEATERS 4X4 WAGON DIESEL,"$48,054.00"
2016,6,15,JAGUAR F-PACE 3.0L V6 S/C AUTO S AWD 5-DOORS SUV PETROL,"$132,992.00"
2016,6,15,JAGUAR TYPE-F 3.0L V6 S/C RWD AUTO CONVERTIBLE PETROL,"$141,780.00"
2016,6,15,JAGUAR TYPE-F 3.0L V6 S/C AUTO RWD COUPE PETROL,"$148,050.00"
2016,6,15,JAGUAR XE 2.0L AUTO I4P RWD 4-DOORS 200PS PRESTIGE PETROL,"$63,900.00"
2016,6,15,JAGUAR XE 2.0L AUTO I4P RWD 4-DOORS 200PS R-SPORT PETROL,"$91,700.00"
2016,6,15,JAGUAR XF 2.0L i4 Ti LUXURY AUTO RWD 4-DOORS PETROL,"$78,750.00"
2016,6,15,JAGUAR XF 2.0L GTDi RWD PRESTIGE AUTO 4-DOORS PETROL,"$82,000.00"
2016,6,15,JAGUAR XJ 2.0L i4 Ti RWD AUTO 4-DOORS SWB PREMIUM LUXURY PETROL,"$131,341.00"
2016,6,15,JAGUAR XJ 3.0L V6 S/C RWD AUTO 4-DOORS LWB PORTFOLIO PETROL,"$156,200.00"
2016,6,15,JEEP CHEROKEE LIMITED 4X4 2.4L AUTO PETROL,"$70,600.00"
2016,6,15,JEEP COMPASS LIMITED 4X4 6-SPEED 2.4L AUTO WAGON PETROL,"$40,900.00"
2016,6,15,JEEP GRAND CHEROKEE LIMITED 3.0L AUTO 4WD PETROL,"$83,950.00"
2016,6,15,JEEP GRAND CHEROKEE SRT 6.4L AUTO 4WD PETROL,"$117,650.00"
2016,6,15,JEEP RENEGADE LONGITUDE 4X2 1.4L AUTO PETROL,"$36,945.00"
2016,6,15,JEEP WRANGLER UNLIMITED RUBICON 3.0L AUTO 4WD PETROL,"$65,650.00"
2016,6,15,KIA CARENS 1.7L EX AUTO CRDi 7-SEATERS DIESEL,"$34,456.00"
2016,6,15,KIA F/L CERATO 1.6L EX AUTO SEDAN PETROL,"$24,901.00"
2016,6,15,KIA CERATO 1.6L EX AUTO 5-DOORS HATCH BACK PETROL,"$27,225.00"
2016,6,15,KIA GRAND CARNIVAL 3.3L SX AUTO 8-SEATER PETROL,"$47,700.00"
2016,6,15,KIA GRAND CARNIVAL 3.3L SX AUTO CRDi 8-SEATER WAGON DIESEL,"$47,173.00"
2016,6,15,KIA GRAND CARNIVAL 3.3L SXL AUTO CRDi 8-SEATER WAGON DIESEL,"$56,829.00"
2016,6,15,KIA GRAND CARNIVAL 3.3L SXLi AUTO 8-SEATER PETROL,"$60,050.00"
2016,6,15,KIA GRAND CARNIVAL 2.2L SXLi AUTO 8-SEATER CRDi DIESEL,"$61,450.00"
2016,6,15,KIA OPTIMA 2.0L GL AUTO SEDAN PETROL,"$30,450.00"
2016,6,15,KIA OPTIMA 2.4L GL AUTO SEDAN PETROL,"$35,000.00"
2016,6,15,KIA OPTIMA 2.0L GLS AUTO SEDAN PETROL,"$33,700.00"
2016,6,15,KIA OPTIMA 2.4L GLS AUTO SEDAN PETROL,"$39,050.00"
2016,6,15,KIA OPTIMA 2.4L GTL AUTO SEDAN PETROL,"$43,000.00"
2016,6,15,KIA F/L PICANTO 1.2L GLS MANUAL 5-DOORS PETROL,"$14,600.00"
2016,6,15,KIA F/L PICANTO 1.2L GLS AUTO 5-DOORS PETROL,"$15,850.00"
2016,6,15,KIA F/L RIO 1.2L EX MANUAL 5-DOORS HATCH BACK PETROL,"$18,100.00"
2016,6,15,KIA RIO 1.4L EX AUTO 3-DOORS H/BACK PETROL,"$21,100.00"
2016,6,15,KIA RIO 1.4L EX AUTO 4-DOORS SEDAN PETROL,"$22,400.00"
2016,6,15,KIA RIO 1.4L EX AUTO 5-DOORS HATCH BACK PETROL,"$21,450.00"
