Year,Month,Day,Car,Showroom Price (BND)
2017,9,30,AUDI A3 1.2L TFSI S-TRONIC AUTO SPORTBACK PETROL,"$46,803.00"
2017,9,30,AUDI A3 1.2L TFSI S-TRONIC SPORT LINE AUTO SEDAN PETROL,"$40,375.00"
2017,9,30,AUDI A4 2.0L TFSI QUATTRO AUTO 7-SPEED S-TRONIC SEDAN PETROL,"$66,016.00"
2017,9,30,AUDI A4 2.0L TFSI ULTRA S-TRONIC AUTO SEDAN PETROL,"$56,852.00"
2017,9,30,AUDI A5 2.0L TFSI QUATTRO S-TRONIC AUTO COUPE PETROL,"$79,952.00"
2017,9,30,AUDI A5 2.0L TFSI QUATTRO S-TRONIC AUTO SPORTBACK PETROL,"$83,042.00"
2017,9,30,AUDI A5 1.8L TFSI SPORTBACK TIPTRONIC AUTO PETROL,"$68,100.00"
2017,9,30,AUDI A6 1.8L TFSI S-TRONIC S-LINE AUTO PETROL,"$72,687.00"
2017,9,30,AUDI A8L 3.0L TFSi QUATTRO TIPTRONIC AUTO SEDAN PETROL,"$165,350.00"
2017,9,30,AUDI Q2 1.0L TFSI S-TRONIC AUTO WAGON PETROL,"$43,570.00"
2017,9,30,AUDI Q2 1.0L TFSI S-TRONIC AUTO S-LINE SPORT WAGON PETROL,"$49,206.00"
2017,9,30,AUDI Q3 2.0L TFSI QUATTRO S-TRONIC AUTO SUV PETROL,"$59,935.00"
2017,9,30,AUDI Q7 3.0L TFSi QUATTRO TIPTRONIC AWD AUTO SUV PETROL,"$122,600.00"
2017,9,30,AUDI S3 2.0L TFSI QUATTRO S-TRONIC AUTO PETROL,"$71,650.00"
2017,9,30,AUDI S5 3.0L TFSI QUATTRO TIPTRONIC AUTO COUPE PETROL,"$111,286.00"
2017,9,30,AUDI S5 3.0L TFSI QUATTRO TIPTRONIC AUTO SPORTBACK PETROL,"$110,410.00"
2017,9,30,AUDI S6 4.0L TFSI QUATTRO S-TRONIC AUTO SEDAN PETROL,"$139,857.00"
2017,9,30,AUDI S7 4.0L TFSI QUATTRO S-TRONIC AUTO SPORTBACK SEDAN PETROL,"$148,224.00"
2017,9,30,BAW BJ6490XBD-R 2.2L MANUAL 9-SEATERS WAGON STANDARD,"$25,150.00"
2017,9,30,BMW 118i RHD M SPORT 1.5L AUTO 5- DOORS HATCH BACK PETROL,"$53,175.00"
2017,9,30,BMW 318i RHD SPORT 1.5L AUTO SALOON PETROL,"$62,965.00"
2017,9,30,BMW 320i RHD M-SPORT 2.0L AUTO SALOON PETROL,"$76,560.00"
2017,9,30,BMW 420i CONVERTIBLE RHD SPORT 2.0L AUTO PETROL,"$106,882.00"
2017,9,30,BMW 420i COUPE RHD SPORT 2.0L AUTO PETROL,"$94,124.00"
2017,9,30,BMW 420i GRAN COUPE RHD SPORT 2.0L AUTO PETROL,"$85,637.00"
2017,9,30,BMW 420i GRAN COUPE RHD SPORT LCI 2.0L AUTO PETROL,"$89,173.00"
2017,9,30,BMW 430i COUPE RHD MSPORT 2.0L AUTO PETROL,"$115,001.00"
2017,9,30,BMW 520D LIMOUSINE RHS LUXURY 2.0L AUTO SALOON PETROL,"$103,701.00"
2017,9,30,BMW 530i LIMOUSINE RHD LUXURY 2.0L AUTO SALOON PETROL,"$115,988.00"
2017,9,30,BMW 530i LIMOUSINE RHD LUXURY 2.0L AUTO SALOON PETROL,"$121,447.00"
2017,9,30,BMW 740i RHD LIMOUSINE 3.0L AUTO 4-DOORS PETROL,"$230,250.00"
2017,9,30,BMW M2 COUPE RHD 3.0L AUTO PETROL,"$129,939.00"
2017,9,30,BMW X1 SDRIVE 20i XLINE RHD 2.0L AUTO 4WD SUV PETROL,"$71,463.00"
2017,9,30,BMW X3 XDRIVE 20i XLINE RHD 2.0L AUTO 4WD SUV PETROL,"$88,625.00"
2017,9,30,BMW X4 xDRIVE 20i XLINE RHD 2.0L AUTO SUV PETROL (METALLIC COLOUR),"$92,118.00"
2017,9,30,BMW X5 XDRIVE 35i RHD 3.0L AUTOWD SUV PETROL,"$151,679.00"
2017,9,30,BMW X6 XDRIVE 35i RHD 3.0L AUTO SUV PETROL,"$179,473.00"
2017,9,30,BMW X6M 4.4L AUTO PETROL,"$315,450.00"
2017,9,30,CHERY FULWIN2 1.5L MANUAL SEDAN PETROL,"$14,650.00"
2017,9,30,CHEVROLET CAPTIVA 2.4L AUTO 7-SEATERS SUV PETROL,"$32,722.00"
2017,9,30,CHEVROLET COLORADO C- CAB 2.5L AUTO 4X4 LTZ DIESEL,"$45,524.00"
2017,9,30,CHEVROLET CRUZE 1.4L TURBO AUTO NOTCH BACK SEDAN PETROL,"$20,383.00"
2017,9,30,CHEVROLET MALIBU 2.4L AUTO SEDAN PETROL,"$31,900.00"
2017,9,30,CHEVROLET ORLANDO 1.8LL AUTO WAGON PETROL,"$28,198.00"
2017,9,30,CHEVROLET SONIC 1.4L AUTO NOTCHBACK PETROL,"$17,778.00"
2017,9,30,CHEVROLET TRAILBLAZER 2.5L AUTO 4X2 SUV DIESEL,"$40,725.00"
2017,9,30,CHEVROLET TRAILBLAZER 2.5L AUTO 4X4 SUV DIESEL,"$53,469.00"
2017,9,30,CHRYSLER 300C LUXURY SERIES RWD 3.0L AUTO PETROL,"$84,216.00"
2017,9,30,CHRYSLER SRT RWD 6.4L 8-SPEED AUTOMATIC TRANSMISSION HEMI,"$108,702.00"
2017,9,30,CITROEN C3 1.2L AUTO 5-DOORS HATCH BACK PETROL,"$27,512.00"
2017,9,30,CITROEN C3 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$24,877.00"
2017,9,30,CITROEN C4 1.2L AUTO 5-DOORS HATCH BACK PETROL,"$29,205.00"
2017,9,30,CITROEN C4 CACTUS 1.2L AUTO 5-DOORS HATCH BACK PETROL,"$28,761.00"
2017,9,30,CITROEN DS4 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$47,350.00"
2017,9,30,CITROEN DS5 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$54,200.00"
2017,9,30,CITROEN GRAND C4 PICASSO 1.6L AUTO 5-DOORS,"$46,460.00"
2017,9,30,DAIHATSU GRAND MAX 1.5L MANUAL VAN PETROL,"$15,607.00"
2017,9,30,DAIHATSU GRAND MAX 1.5L AUTO 5-DOORS 5-SEATERS VAN PETROL,"$21,392.00"
2017,9,30,DAIHATSU TERIOS 1.5L MANUAL 2WD HIGH SPEC,"$27,500.00"
2017,9,30,DODGE JOURNEY R/T (FWD/RHD) 2.4L 4-SPEED AUTO VLP TRANSMISSION,"$48,813.00"
2017,9,30,DS3 1.2L AUTO 3-DOORS HATCH BACK PETROL,"$31,961.00"
2017,9,30,DS3 GT PERFORMANCE 1.6L MANUAL 3-DOORS HATCH BACK PETROL,"$48,569.00"
2017,9,30,DS4 CROSSBACK 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$42,207.00"
2017,9,30,DS5 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$53,958.00"
2017,9,30,FORD ECOSPORT 1.5L TREND AUTO 5-DOORS S/WAGON PETROL,"$27,860.00"
2017,9,30,FORD EVEREST TREND XLT 2.2L 6AUTO 2WD WAGON DIESEL,"$57,000.00"
2017,9,30,FORD FIESTA (SIGMA) MID 1.5L AUTO 5-DOORS HATCH BACK PETROL,"$22,703.00"
2017,9,30,FORD FIESTA 1.6L AUTO SIGMA MID 4-DOORS SEDAN PETROL,"$20,964.00"
2017,9,30,FORD FIGO 1.4L TREND MANUAL HATCH BACK 5-DOORS PETROL,"$15,000.00"
2017,9,30,FORD FIGO 1.6L TREND AUTO HATCH BACK 5-DOORS PETROL,"$17,850.00"
2017,9,30,FORD FOCUS 1.6L TITANIUM AUTO HATCH BACK 5-DOORS PETROL,"$28,850.00"
2017,9,30,FORD KUGA TITANIUM 1.6L AUTO SUV PETROL,"$40,100.00"
2017,9,30,FORD KUGA TREND 1.6L AUTO SUV PETROL,"$39,734.00"
2017,9,30,FORD MONDEO 2.0L TITANIUM AUTO SEDAN 4-DOORS PETROL,"$41,000.00"
2017,9,30,FORD MUSTANG I4 2.3L TI-VCT 6-SPEED AUTO TRANSMISSION COUPE,"$74,475.00"
2017,9,30,FORD MUSTANG GT 5.0L TI-VCT 6-SPEED AUTO TRANSMISSION COUPE,"$95,992.00"
2017,9,30,FORD RANGER XL 2.2L LP MANUAL DOUBLE CAB 4WD DIESEL,"$40,893.00"
2017,9,30,FORD RANGER XLT 2.2L MANUAL DOUBLE CAB 4X4 DIESEL,"$37,403.00"
2017,9,30,FORD RANGER XLT 2.2L HP AUTO DOUBLE CAB 4WD DIESEL,"$47,569.00"
2017,9,30,FORD RANGER XLT 3.2L MANUAL DOUBLE CAB 4X4 DIESEL,"$42,526.00"
2017,9,30,FORD RANGER XLT 3.2L AUTO 4WD DOUBLE CAB DIESEL,"$42,000.00"
2017,9,30,FORD S-MAX 2.0L ECOBOOST AUTO PETROL,"$51,965.00"
2017,9,30,FORD TRANSIT CUSTOM KOMBI M1 330L 2.2L 125PS MANUAL 9-SEATERS,"$49,525.00"
2017,9,30,GREAT WALL HAVAL M4 1.5L 6-SPEED AUTO TRANSMISSION 5-DOORS,"$21,605.00"
2017,9,30,GREAT WALL VOLEEX C10 1.5L AUTO 5-DOORS HATCH BACK PETROL,"$16,243.00"
2017,9,30,HONDA ACCORD 2.4L VTI-LFN AUTO SEDAN PETROL,"$49,287.00"
2017,9,30,HONDA CITY 1.5L V-SIN CVT ZE6 AUTO SEDAN PETROL,"$23,684.00"
2017,9,30,HONDA CIVIC 1.6L VTi-B CVT UB5 AUTO SEDAN PETROL,"$31,196.00"
2017,9,30,HONDA CIVIC 1.5L VTiS-B CVT TURBO UA7 AUTO SEDAN PETROL,"$41,416.00"
2017,9,30,HONDA CR-V 1.5L TURBO RVSI-B CVT AUTO AWD 7-SEATERS WAGON PETROL,"$48,120.00"
2017,9,30,HONDA HR-V 1.5L LX SIN CVT ZB9 AUTO WAGON 5-SEATERS PETROL,"$33,652.00"
2017,9,30,HONDA JAZZ 1.5L Vti-R AUTO 5-DOORS HATCH BACK PETROL,"$24,380.00"
2017,9,30,HONDA MOBILIO U-RS CVT UB5 1.5L AUTO 7-SEATERS WAGON PETROL,"$28,050.00"
2017,9,30,HONDA ODYSSEY 2.4L EXV AUTO WAGON 7-SEATER WAGON PETROL,"$49,536.00"
2017,9,30,HYUNDAI ACCENT 1.4L CVVT AUTO 5-DOORS HATCH BACK PETROL,"$20,977.00"
2017,9,30,HYUNDAI ACCENT 1.4L CVVT AUTO 5-DOORS HATCH BACK PETROL,"$21,119.00"
2017,9,30,HYUNDAI CRETA 1.6L GLS AUTO 2WD SUV PETROL,"$26,186.00"
2017,9,30,HYUNDAI CRETA 1.6L GLS AUTO 2WD SUV PETROL,"$26,064.00"
2017,9,30,HYUNDAI CRETA 1.6L GLS AUTO 2WD SUV PETROL,"$24,629.00"
2017,9,30,HYUNDAI CRETA 1.6L GLS AUTO 2WD SUV PETROL,"$24,508.00"
2017,9,30,HYUNDAI ELANTRA GLS 1.6L AUTO BASE 4-DOORS 2WD SEDAN PETROL,"$26,773.00"
2017,9,30,HYUNDAI ELANTRA GLS 1.6L AUTO BASE 4-DOORS 2WD SEDAN PETROL,"$26,632.00"
2017,9,30,HYUNDAI GRAND i10 GL 1.25L MANUAL 4-DOORS SEDAN PETROL,"$14,967.00"
2017,9,30,HYUNDAI GRAND i10 GL 1.25L MANUAL 4-DOORS SEDAN PETROL,"$14,841.00"
2017,9,30,HYUNDAI GRAND i10 GL 1.25L AUTO 4-DOORS SEDAN PETROL,"$16,329.00"
2017,9,30,HYUNDAI GRAND i10 GL 1.25L AUTO 4-DOORS SEDAN PETROL,"$16,203.00"
2017,9,30,HYUNDAI GRAND i10 GLS 1.25L MANUAL 4-DOORS SEDAN PETROL,"$13,880.00"
2017,9,30,HYUNDAI GRAND i10 GLS 1.25L AUTO 4-DOORS SEDAN PETROL,"$15,312.00"
2017,9,30,HYUNDAI GRAND i10 GLS 1.0L AUTO 5-DOORS HATCH BACK PETROL,"$16,577.00"
2017,9,30,HYUNDAI GRAND i10 GLS 1.0L AUTO 5-DOORS HATCH BACK PETROL,"$16,703.00"
2017,9,30,HYUNDAI H1 ROYALE 2.4L AUTO 9-SEATERS VAN PETROL,"$63,829.00"
2017,9,30,HYUNDAI H1 ROYALE 2.5L CRDi AUTO 9-SEATERS VAN DIESEL,"$74,532.00"
2017,9,30,HYUNDAI H1 2.4L MPI AUTO 9-SEATERS VAN PETROL,"$34,949.00"
2017,9,30,HYUNDAI H1 2.4L MPI AUTO 9-SEATERS VAN PETROL,"$35,095.00"
2017,9,30,HYUNDAI H1 2.5L VGT CRDi AUTO 9-SEATERS WAGON DIESEL,"$44,152.00"
2017,9,30,HYUNDAI H1 2.5L VGT CRDi AUTO 9-SEATERS WAGON DIESEL,"$44,306.00"
2017,9,30,HYUNDAI i20 1.4L MANUAL 5-DOORS HATCH BACK PETROL,"$19,256.00"
2017,9,30,HYUNDAI i20 1.4L MANUAL 5-DOORS HATCH BACK PETROL,"$19,308.00"
2017,9,30,HYUNDAI i20 1.4L AUTO 5-DOORS HATCH BACK PETROL,"$22,578.00"
2017,9,30,HYUNDAI i20 1.4L AUTO 5-DOORS HATCH BACK PETROL,"$22,630.00"
2017,9,30,HYUNDAI i20 ACTIVE 1.4L AUTO 5-DOORS HATCH BACK PETROL,"$22,367.00"
2017,9,30,HYUNDAI i20 ACTIVE 1.4L AUTO 5-DOORS HATCH BACK PETROL,"$22,315.00"
2017,9,30,HYUNDAI i20 ACTIVE 1.4L AUTO 5-DOORS HATCH BACK PETROL,"$22,210.00"
2017,9,30,HYUNDAI i30 1.6L AUTO (STANDARD SPEC) 5-DOORS HATCH BACK PETROL,"$26,350.00"
2017,9,30,HYUNDAI i30 1.6L AUTO (STANDARD SPEC) 5-DOORS HATCH BACK PETROL,"$26,495.00"
2017,9,30,HYUNDAI SONATA 2.0L GLS AUTO SALOON PETROL,"$30,644.00"
2017,9,30,HYUNDAI SONATA 2.4L GLS AUTO SALOON PETROL,"$38,285.00"
2017,9,30,HYUNDAI TUCSON 2.0L CVVT AUTO 2WD SUV STANDARD PETROL,"$36,556.00"
2017,9,30,HYUNDAI VELOSTER 1.6L GLS AUTO 2WD 3-DOORS HATCH BACK PETROL,"$27,999.00"
2017,9,30,HYUNDAI VELOSTER 1.6L GLS AUTO 2WD 3-DOORS HATCH BACK PETROL,"$28,141.00"
2017,9,30,JAGUAR F-PACE 3.0L V6 S/C AUTO S AWD 5-DOORS SUV PETROL,"$123,371.00"
2017,9,30,JAGUAR F-PACE 3.0L V6 S/C AUTO R-SPORT AWD 5-DOORS SUV PETROL,"$107,504.00"
2017,9,30,JAGUAR F-TYPE 3.0L V6 S/C RWD AUTO COUPE PETROL,"$134,422.00"
2017,9,30,JAGUAR F - TYPE 3.0L V6 S/C RWD AUTO CONVERTIBLE PETROL,"$141,780.00"
2017,9,30,JAGUAR XE 2.0L I4P AUTO RWD 200PS PRESTIGE 4-DOORS SEDAN PETROL,"$63,880.00"
2017,9,30,JAGUAR XF 2.0L GTDi RWD PRESTIGE AUTO 4-DOORS SEDAN PETROL,"$79,236.00"
2017,9,30,JAGUAR XJ 2.0L i4 Ti RWD AUTO 4-DOORS SWB PREMIUM LUXURY,"$128,401.00"
2017,9,30,JEEP COMPASS LIMITED 2.4L 4WD 6-SPEED WAGON PETROL,"$42,053.00"
2017,9,30,JEEP CHEROKEE LIMITED 4X4 9-SPEED 4WD 2.4L AUTO SUV PETROL,"$69,652.00"
2017,9,30,JEEP GRAND CHEROKEE LIMITED 3.0L 4WD SUV AUTO PETROL,"$83,950.00"
2017,9,30,JEEP RENEGADE LIMITED 1.4L RHD 6-SPEED C633 DUEL DRY CLUTH,"$42,604.00"
2017,9,30,JEEP WRANGLER UNLIMITED RUBICON V6 3.0L 5-SPEED AUTOMATIC,"$65,266.00"
2017,9,30,KIA F/L CERATO 1.6L EX MANUAL 5-DOORS HATCH BACK PETROL,"$25,128.00"
2017,9,30,KIA F/L CERATO 1.6L EX AUTO SEDAN PETROL,"$26,431.00"
2017,9,30,KIA F/L CERATO 1.6L LX AUTO 4-DOORS SEDAN PETROL,"$26,140.00"
2017,9,30,KIA F/L CERATO 1.6L LX AUTO 5-DOORS HATCHBACK PETROL,"$26,634.00"
2017,9,30,KIA CERATO KOUP 1.6L SX MANUAL TURBO-GDI 2-DOORS COUPE PETROL,"$32,957.00"
2017,9,30,KIA CERATO KOUP 1.6L SX AUTO TURBO-GDI 2-DOORS COUPE PETROL,"$35,740.00"
2017,9,30,KIA F/L CERATO 1.6L SX AUTO 4-DOORS SEDAN PETROL,"$29,837.00"
2017,9,30,KIA GRAND CARNIVAL 3.3L SX AUTO 8-SEATER WAGON PETROL,"$50,437.00"
2017,9,30,KIA GRAND CARNIVAL 2.2L SX AUTO CRDi 8-SEATER WAGON DIESEL,"$51,920.00"
2017,9,30,KIA GRAND CARNIVAL 3.3L SXLi AUTO CRDi 8-SEATER WAGON PETROL,"$61,384.00"
2017,9,30,KIA GRAND CARNIVAL 2.2L SXLi AUTO CRDi 8-SEATER WAGON DIESEL,"$62,704.00"
2017,9,30,KIA OPTIMA 1.2L GTL AUTO 5-DOORS HATCH BACK PETROL,"$20,523.00"
2017,9,30,KIA OPTIMA 2.4L GTL AUTO SEDAN PETROL,"$42,320.00"
2017,9,30,KIA PICANTO 1.2L GL MANUAL 5-DOORS HATCH BACK PETROL,"$17,597.00"
2017,9,30,KIA PICANTO 1.2L GL AUTO 5-DOORS HATCH BACK PETROL,"$18,798.00"
2017,9,30,KIA PICANTO 1.2L GLS MANUAL 5-DOORS HATCH BACK PETROL,"$18,032.00"
2017,9,30,KIA PICANTO 1.2L GLS AUTO 5-DOORS HATCH BACK PETROL,"$19,220.00"
2017,9,30,KIA RIO 1.4L G MANUAL 5-DOORS HATCHBACK PETROL,"$19,628.00"
2017,9,30,KIA RIO 1.4L G AUTO 5-DOORS HATCHBACK PETROL,"$20,994.00"
2017,9,30,KIA RIO 1.4L GL AUTO 5-DOORS HATCHBACK PETROL,"$24,177.00"
2017,9,30,KIA RIO 1.4L LX AUTO 4-DOORS SEDAN PETROL,"$21,603.00"
2017,9,30,KIA SORENTO 2.4L EX AUTO 2WD 7-SEATER SUV PETROL,"$40,852.00"
2017,9,30,KIA SORENTO 2.2L SX AUTO AWD 7-SEATER SUV CRDi DIESEL,"$49,816.00"
2017,9,30,KIA SORENTO 2.2L SX AUTO 2WD 7-SEATER SUV CRDi DIESEL,"$46,734.00"
2017,9,30,KIA SORENTO 2.4L GTL AUTO 2WD 7-SEATER SUV PETROL,"$47,069.00"
2017,9,30,KIA SORENTO 3.3L SX AUTO 2WD GSL 7-SEATER WAGON PETROL,"$55,693.00"
2017,9,30,KIA SPORTAGE 2.0L GTL AUTO 2WD 5-SEATERS SUV PETROL,"$41,351.00"
2017,9,30,KIA SPORTAGE 2.0L L AUTO 2WD 5-SEATERS SUV PETROL,"$31,353.00"
2017,9,30,KIA STINGER 3.3L GT AUTO SPORT 4-DOORS SEDAN PETROL,"$78,651.00"
2017,9,30,KINGLONG XMQ6520E 2.2L MANUAL (9-SEATS STANDARD) VAN PETROL,"$23,500.00"
2017,9,30,LAND ROVER DISCOVERY SPORT 2.0L Si4 AUTO SUV AWD 5-DOORS,"$95,893.00"
2017,9,30,LAND ROVER DISCOVERY SPORT 2.0L Si4 AUTO SUV 4WD 5-DOORS,"$79,874.00"
2017,9,30,LAND ROVER DISCOVERY 3.0L V6 AUTO 4WD 5-DOORS HSE,"$115,345.00"
2017,9,30,LAND ROVER DISCOVERY 3.0L V6 AUTO 4WD 5-DOORS SE,"$115,812.00"
2017,9,30,LAND ROVER DISCOVERY SPORT 2.0L Si4 AUTO SUV 4WD 5-DOORS,"$84,105.00"
2017,9,30,LEXUS CT200H HYBRID 1.8L AUTO 5-DOORS HATCH BACK PETROL,"$46,532.00"
2017,9,30,LEXUS ES250 2.5L AUTO SEDAN PETROL,"$64,989.00"
2017,9,30,LEXUS ES300H 2.5L HYBRID AUTO SEDAN PETROL,"$67,224.00"
2017,9,30,LEXUS IS200T LUXURY 2.0L AUTO SEDAN PETROL,"$68,460.00"
2017,9,30,LEXUS IS200T F-SPORT 2.0L AUTO SEDAN PETROL,"$81,059.00"
