Year,Month,Day,Car,Showroom Price (BND)
2017,2,15,AUDI A3 1.2L TFSI S-TRONIC SPORT LINE AUTO SEDAN PETROL,"$40,375.00"
2017,2,15,AUDI A4 1.4L TFSI S-TRONIC AUTO SEDAN PETROL,"$49,750.00"
2017,2,15,AUDI A4 2.0L TFSI ULTRA S-TRONIC AUTO SEDAN PETROL,"$56,852.00"
2017,2,15,AUDI A4 TFSI QUATTRO 7-SPEED S-TRONIC AUTO SEDAN PETROL,"$66,016.00"
2017,2,15,AUDI A5 1.8L TFSI SPORTBACK TIPTRONIC AUTO PETROL,"$68,100.00"
2017,2,15,AUDI A6 1.8L TFSI S-TRONIC S-LINE AUTO PETROL,"$72,687.00"
2017,2,15,AUDI A8L 3.0L TFSi QUATTRO TIPTRONIC AUTO SEDAN PETROL,"$165,350.00"
2017,2,15,AUDI Q7 3.0L TFSi QUATTRO TIPTRONIC AWD AUTO SUV PETROL,"$122,600.00"
2017,2,15,AUDI S3 2.0L TFSI QUATTRO S-TRONIC AUTO PETROL,"$71,650.00"
2017,2,15,AUDI TT 2.0L TFSI S-TRONIC AUTO COUPE PETROL,"$81,650.00"
2017,2,15,AUDI TTS 2.0L TFSI QUATTRO S-TRONIC AUTO COUPE PETROL,"$101,200.00"
2017,2,15,BMW 118i 1.5L AUTO 5-DOORS RHD PETROL,"$46,523.00"
2017,2,15,BMW 118i M-SPORT 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$53,190.00"
2017,2,15,BMW 218i ACTIVE TOURER LUXURY 1.5L AUTO WAGON PETROL,"$55,700.00"
2017,2,15,BMW 220i COUPE SPORT LINE 2.0L MANUAL PETROL,"$65,850.00"
2017,2,15,BMW 740i RHD LIMOUSINE 3.0L AUTO 4-DOORS PETROL,"$230,250.00"
2017,2,15,BMW X1 S DRIVE20i RHD SPORT 2.0L AUTO PETROL,"$71,615.00"
2017,2,15,BMW X4 xDRIVE20i X LINE RHD 2.0L AUTO PETROL,"$90,635.00"
2017,2,15,BMW X4 xDRIVE20i X LINE RHD 2.0L AUTO PETROL,"$92,118.00"
2017,2,15,BMW X5 xDRIVE 35i RHD PURE EXPERIENCE 3.0L AUTO SUV,"$163,940.00"
2017,2,15,BMW X6 xDRIVE 35i M-SPORT 3.0L AUTO SUV PETROL,"$178,787.00"
2017,2,15,BMW X6M 4.4L AUTO PETROL,"$315,450.00"
2017,2,15,CHERY FULWIN2 1.5L MANUAL SEDAN PETROL,"$14,650.00"
2017,2,15,CHEVROLET CAPTIVA 2.4L AUTO 7-SEATERS SUV PETROL,"$32,274.00"
2017,2,15,CHEVROLET COLORADO C- CAB 2.5L AUTO 4X4 LTZ DIESEL,"$45,524.00"
2017,2,15,CHEVROLET COLORADO CREW CAB 2.5L MANUAL 4WD,"$38,714.00"
2017,2,15,CHEVROLET CRUZE 1.6L MANUAL SEDAN PETROL,"$19,079.00"
2017,2,15,CHEVROLET CRUZE 1.6L AUTO SEDAN PETROL,"$20,542.00"
2017,2,15,CHEVROLET SONIC 1.4L AUTO NOTCHBACK PETROL,"$17,778.00"
2017,2,15,CHEVROLET SPARK 1.0L AUTO HATCH BACK PETROL,"$13,385.00"
2017,2,15,CHEVROLET TRAILBLAZER 2.8L AUTO 4X4 SUV DIESEL,"$53,950.00"
2017,2,15,CHRYSLER 300C LUXURY SERIES 3.0L AUTO PETROL,"$84,216.00"
2017,2,15,CITROEN C3 1.6L LX AUTO 5-DOORS HATCH BACK PETROL,"$24,249.00"
2017,2,15,CITROEN DS4 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$47,350.00"
2017,2,15,CITROEN DS5 1.6L AUTO 5-DOORS HATCH BACK PETROL,"$54,200.00"
2017,2,15,CITROEN GRAND C4 PICASSO 1.6L AUTO 5-DOORS,"$42,588.00"
2017,2,15,DAIHATSU GRAND MAX 1.5L MANUAL VAN PETROL,"$15,607.00"
2017,2,15,DAIHATSU TERIOS 1.5L MANUAL 2WD HIGH SPEC,"$27,500.00"
2017,2,15,DAIHATSU TERIOS 1.5L AUTO 2WD HIGH SPEC,"$21,150.00"
